state_id,state_name,page,sno,place_address,telephone,voip,email
1,Andhra Pradesh,1,Andhra Pradesh
1,Andhra Pradesh,1,1,"E.S.I. Dispensary, Bobbili,
Government hospital road, 
Bobbili, Vizianagaram District",08944-255089,0,0
1,Andhra Pradesh,1,2,"E.S.I. Dispensary, Atchutapuram
SD Enclave,
 Near Heritage Parlour,
 Atchutapuram, Visakhapatnam District",,,
1,Andhra Pradesh,1,3,"E.S.I. Dispensary, Chittivalasa
E.S.I. Compound, Chittivalasa, Visakhapatnam – 531162.",08933-226453,-,mo[hyphen]esid[hyphen]chittivalasa[at]ap[dot]gov[dot]in
1,Andhra Pradesh,1,4,"E.S.I. Dispensary, Gandhigram, 
Nr. V.T. College, Sriharipuram,
Visakhapatnam.",0891-2756074,,
1,Andhra Pradesh,1,5,"E.S.I. Dispensary,Garividi
 Main Road, Sreeramnagar, Garividi, Vizianagaram District.",08952-281275,,
1,Andhra Pradesh,1,6,"E.S.I. Dispensary, Gopalapatnam
D.No. 4/87, Naiduthota, Visakhapatnam",0891-2573968,,
1,Andhra Pradesh,1,7,"E.S.I. Dispensary, Industrial Estate
Near SBH, Muralinagar, Visakhapatnam",0891- 2558209,,
1,Andhra Pradesh,1,8,"E.S.I. Dispensary, Kottavalasa 
Pendurthi road, Near Ayyappa Swamy Temple, Kottavalasa.",08966-263019,-,mo[hyphen]esid[hyphen]kothavalasa[at]ap[dot]gov[dot]in
1,Andhra Pradesh,1,9,"E.S.I. Dispensary, Kurmannapalem
 # 31-27-45/1, Prince Enclave, Duvvada Station Road, 
Kurmannapalem, Visakhapatnam – 530046.",7382049496,,
1,Andhra Pradesh,1,10,"E.S.I. Dispensary, Ramnagar
# 50-50-35/4, Gurupriya, Seethammadhara (W), Balayyasastri Layout, Visakhapatnam.",0891-2553780,,
1,Andhra Pradesh,2,Andhra Pradesh
1,Andhra Pradesh,2,1,"E.S.I. Dispensary, Bobbili,
Government hospital road, 
Bobbili, Vizianagaram District",08944-255089,0,0
1,Andhra Pradesh,2,2,"E.S.I. Dispensary, Atchutapuram
SD Enclave,
 Near Heritage Parlour,
 Atchutapuram, Visakhapatnam District",,,
1,Andhra Pradesh,2,3,"E.S.I. Dispensary, Chittivalasa
E.S.I. Compound, Chittivalasa, Visakhapatnam – 531162.",08933-226453,-,mo[hyphen]esid[hyphen]chittivalasa[at]ap[dot]gov[dot]in
1,Andhra Pradesh,2,4,"E.S.I. Dispensary, Gandhigram, 
Nr. V.T. College, Sriharipuram,
Visakhapatnam.",0891-2756074,,
1,Andhra Pradesh,2,5,"E.S.I. Dispensary,Garividi
 Main Road, Sreeramnagar, Garividi, Vizianagaram District.",08952-281275,,
1,Andhra Pradesh,2,6,"E.S.I. Dispensary, Gopalapatnam
D.No. 4/87, Naiduthota, Visakhapatnam",0891-2573968,,
1,Andhra Pradesh,2,7,"E.S.I. Dispensary, Industrial Estate
Near SBH, Muralinagar, Visakhapatnam",0891- 2558209,,
1,Andhra Pradesh,2,8,"E.S.I. Dispensary, Kottavalasa 
Pendurthi road, Near Ayyappa Swamy Temple, Kottavalasa.",08966-263019,-,mo[hyphen]esid[hyphen]kothavalasa[at]ap[dot]gov[dot]in
1,Andhra Pradesh,2,9,"E.S.I. Dispensary, Kurmannapalem
 # 31-27-45/1, Prince Enclave, Duvvada Station Road, 
Kurmannapalem, Visakhapatnam – 530046.",7382049496,,
1,Andhra Pradesh,2,10,"E.S.I. Dispensary, Ramnagar
# 50-50-35/4, Gurupriya, Seethammadhara (W), Balayyasastri Layout, Visakhapatnam.",0891-2553780,,
1,Andhra Pradesh,3,Andhra Pradesh
1,Andhra Pradesh,3,1,"E.S.I. Dispensary, Bobbili,
Government hospital road, 
Bobbili, Vizianagaram District",08944-255089,0,0
1,Andhra Pradesh,3,2,"E.S.I. Dispensary, Atchutapuram
SD Enclave,
 Near Heritage Parlour,
 Atchutapuram, Visakhapatnam District",,,
1,Andhra Pradesh,3,3,"E.S.I. Dispensary, Chittivalasa
E.S.I. Compound, Chittivalasa, Visakhapatnam – 531162.",08933-226453,-,mo[hyphen]esid[hyphen]chittivalasa[at]ap[dot]gov[dot]in
1,Andhra Pradesh,3,4,"E.S.I. Dispensary, Gandhigram, 
Nr. V.T. College, Sriharipuram,
Visakhapatnam.",0891-2756074,,
1,Andhra Pradesh,3,5,"E.S.I. Dispensary,Garividi
 Main Road, Sreeramnagar, Garividi, Vizianagaram District.",08952-281275,,
1,Andhra Pradesh,3,6,"E.S.I. Dispensary, Gopalapatnam
D.No. 4/87, Naiduthota, Visakhapatnam",0891-2573968,,
1,Andhra Pradesh,3,7,"E.S.I. Dispensary, Industrial Estate
Near SBH, Muralinagar, Visakhapatnam",0891- 2558209,,
1,Andhra Pradesh,3,8,"E.S.I. Dispensary, Kottavalasa 
Pendurthi road, Near Ayyappa Swamy Temple, Kottavalasa.",08966-263019,-,mo[hyphen]esid[hyphen]kothavalasa[at]ap[dot]gov[dot]in
1,Andhra Pradesh,3,9,"E.S.I. Dispensary, Kurmannapalem
 # 31-27-45/1, Prince Enclave, Duvvada Station Road, 
Kurmannapalem, Visakhapatnam – 530046.",7382049496,,
1,Andhra Pradesh,3,10,"E.S.I. Dispensary, Ramnagar
# 50-50-35/4, Gurupriya, Seethammadhara (W), Balayyasastri Layout, Visakhapatnam.",0891-2553780,,
1,Andhra Pradesh,4,Andhra Pradesh
1,Andhra Pradesh,4,1,"E.S.I. Dispensary, Bobbili,
Government hospital road, 
Bobbili, Vizianagaram District",08944-255089,0,0
1,Andhra Pradesh,4,2,"E.S.I. Dispensary, Atchutapuram
SD Enclave,
 Near Heritage Parlour,
 Atchutapuram, Visakhapatnam District",,,
